Date,Gameweek,HomeTeam,HomeScore,AwayTeam,AwayScore,Venue,Attendance
1889-01-05,19,Burnley,4,Aston Villa,0,Turf Moor Burnley,6000
1889-01-05,19,Preston North End,4,Notts County,1,Deepdale Preston,4000
1889-01-05,19,West Bromwich Albion,1,Wolverhampton Wanderers,3,Stoney Lane West Bromwich,4000
1889-01-12,20,Aston Villa,6,Bolton Wanderers,2,Wellington Road Perry Barr Birmingham,2000
1889-01-12,20,Blackburn Rovers,2,Preston North End,2,Leamington Road Blackburn,10000
1889-01-12,20,Burnley,2,Accrington,2,Turf Moor Burnley,6000
1889-01-12,20,Derby County,3,Wolverhampton Wanderers,0,Racecourse Ground Derby,2000
1889-01-12,20,Everton,2,Stoke,1,Anfield Liverpool,6000
1889-01-12,20,Notts County,2,West Bromwich Albion,1,Trent Bridge Nottingham,2000
1889-01-19,21,Accrington,0,Blackburn Rovers,2,Thorneyholme Road Accrington,4000
1889-01-19,21,Aston Villa,2,West Bromwich Albion,0,Wellington Road Perry Barr Birmingham,10000
1889-01-19,21,Burnley,1,Derby County,0,Turf Moor Burnley,3000
1889-01-19,21,Everton,0,Preston North End,2,Anfield Liverpool,15000
1889-01-19,21,Notts County,3,Wolverhampton Wanderers,0,Trent Bridge Nottingham,3000
1889-01-19,21,Stoke,2,Bolton Wanderers,2,Victoria Ground Stoke,6000
1889-01-26,22,Accrington,1,Notts County,2,Thorneyholme Road Accrington,5000
1889-01-26,22,Bolton Wanderers,3,Blackburn Rovers,2,Pikes Lane Bolton,6000
1889-01-26,22,Derby County,2,Stoke,1,Racecourse Ground Derby,2500
1889-01-26,22,West Bromwich Albion,3,Aston Villa,3,Stoney Lane West Bromwich,8515
1889-01-26,22,Wolverhampton Wanderers,5,Everton,0,Dudley Road Wolverhampton,3500
1889-02-04,23,Blackburn Rovers,4,Burnley,2,Leamington Road Blackburn,2000
1889-02-09,24,Aston Villa,0,Preston North End,2,Wellington Road Perry Barr Birmingham,10000
1889-02-09,24,Everton,1,Wolverhampton Wanderers,2,Anfield Liverpool,6000
1889-02-23,25,West Bromwich Albion,1,Everton,0,Stoney Lane West Bromwich,8000
1889-02-23,25,Wolverhampton Wanderers,2,Notts County,1,Dudley Road Wolverhampton,4000
1889-03-02,26,Derby County,1,Burnley,0,Racecourse Ground Derby,3000
1889-03-05,27,Notts County,0,Bolton Wanderers,4,Castle Cricket Ground Nottingham,3000
1889-03-09,28,Bolton Wanderers,7,Notts County,3,Pikes Lane Bolton,3000
1889-03-09,28,Derby County,5,Aston Villa,2,Racecourse Ground Derby,3000
1889-03-16,29,Notts County,3,Derby County,5,Castle Cricket Ground Nottingham,5000
1889-03-23,30,Accrington,2,Bolton Wanderers,3,Thorneyholme Road Accrington,3000
1889-03-30,31,Everton,3,Blackburn Rovers,1,Anfield Liverpool,7000
1889-04-06,32,Stoke,1,Derby County,1,Victoria Ground Stoke,4000
1889-04-15,33,Blackburn Rovers,3,Derby County,0,Leamington Road Blackburn,4000
1889-04-20,34,Accrington,2,Stoke,0,Thorneyholme Road Accrington,2000
